Place,No. of Foreign Tourists in 2018
Nueva Valencia,"6,112"
San Lorenzo,563
Sibunag,676
Others,-
Iloilo Province,"6,558"
Ajuy,126
Alimodian,1
Badiangan,208
Balasan,5
Banate,-
Barotac Nuevo,2
Barotac Viejo,-
Batad,-
Bingawan,-
Cabatuan,148
Calinog,-
Carles,"1,618"
Concepcion,140
Dingle,-
Duenas,5
Dumangas,1
Estancia,"1,653"
Guimbal,60
Igbaras,12
Januiay,-
Lambunao,-
Leganes,456
Lemery,35
Leon,38
Maasin,12
Miagao,7
New Lucena,16
Oton,960
Passi,77
Pavia,36
Pototan,44
San Dionisio,6
San Enrique,-
San Joaquin,188
San Miguel,-
Sara,2
Sta. Barbara,265
Tigbauan,435
Tubungan,2
Zarraga,-
Negros Occidental,"34,690"
Bago,109
Binalbagan,65
Cadiz,"3,711"
Calatrava,21
Candoni,-
Cauayan,-
DS Benedicto,-
Escalante,89
Hinigaran,32
Hinobaan,732
Kabankalan,"1,326"
La Carlota,23
Las Castellana,-
Mambukal,-
Manapla,607
Moises,-
Murcia,"3,923"
Pulupandan,-
Sagay,204
San Carlos,349
San Enrique,-
Silay,13
Sipalay,"22,924"
Talisay,562
Victorias,-
Bacolod City,"80,509"
Iloilo City,"70,787"
Region VII (CENTRAL VISAYAS),"3,602,646"
Bohol,"641,527"
Anda,"8,841"
Antequera,-
Baclayon,"2,384"
Batuan,97
Bien Unido,-
Bilar,"2,494"
Buenavista,8
Calape,"1,173"
Candijay,20
Carmen,"2,389"
Catigbian,-
Danao,142
Dauis,"36,186"
Dimiao,-
Garcia Hernandez,-
Getafe,-
Guindulman,"1,281"
Inabanga,-
Jagna,585
Lila,105
Loay,-
Loon,"1,522"
Loboc,"2,385"
Maribojoc,217
Panglao,"526,388"
Sagbayan,-
San Isidro,-
Sikatuna,-
Tagbilaran,"53,830"
Talibon,707
Tubigon,279
Ubay,-
Valencia,494
Cebu,"456,313"
Alcoy,"2,502"
Alcantara,-
Alegria,396
Aloquinsan,8
Argao,"1,048"
Asturias,346
Badian,26
Balamban,487
Bantayan,232
Barili,450
Bogo City,"1,224"
Borbon,34
Boljoon,"4,454"
Carcar,"1,834"
Carmen,-
Catmon,-
Cordova,"164,022"
Daanbantayan,"86,369"
Dalaguete,868
Danao City,"3,753"
Ginatilan,-
Madridejos,-
Medellin,"32,153"
Minglanilla,-
Moalboal,"30,355"
Oslob,"37,830"
Pilar,561
Pinamungahan,650
Poro,436
Ronda,292
Samboan,"1,071"
San Fernando,"11,222"
San Francisco,"13,970"
San Remegio,"24,960"
Santander,"3,701"
Santa Fe,"27,947"
Sibonga,-
Sogod,260
Tabogon,46
Talisay,-
Toledo City,"2,560"
Tuburan,88
Tudela,158
Negros Oriental,"115,924"
Amlan,334
Bacong,"1,980"
Bais,"3,412"
Basay,"1,218"
Bayawan,755
Canlaon,235
Dauin,"27,704"
Dumaguete,"50,153"
Guijulngan,143
La Libertad,"3,509"
Jimalaud,230
Mabinay,"5,222"
Manjuyod,285
San Jose,339
Siaton,"2,890"
Sibulan,"3,395"
Tanjay,65
Valencia,"10,177"
Zamboanguita,"3,878"
Siquijor,"66,788"
E. Villanueva,631
Larena,"3,421"
Lazi,"2,440"
Maria,781
San Juan,"44,932"
Siquijor,"14,583"
Cebu City,"896,107"
Lapu-lapu City,"1,337,958"
Mandaue City,"88,029"
Region VIII (EASTERN VISAYAS) ,50674 
Biliran,"1,159"
