location,num_tourists
Palompon,3735
Tolosa,26
Northern Samar,643
Allen,158
Biri,121
Bobon,4
Capul,75
Catarman,131
Mondragon,21
San Antonio,131
San Roque,2
Samar,8723
Calbayog City,7928
Catbalogan,795
Southern Leyte,5248
Hinunangan,137
Hinundayan,45
Liloan,65
Maasin City,2287
Macrohon,2253
San Juan,25
Saint Bernard,1
Sogod,433
Tomas Oppus,2
Tacloban City,23081
Region IX (ZAMBOANGA PENINSULA) ,16830
Zamboanga del Norte,5389
Dapitan City,867
Dipolog City,4458
Others,64
Zamboanga del Sur,704
Pagadian City,704
Others,1765
Zamboanga Sibugay,86
Zamboanga City,8886
Region X (NORTHERN MINDANAO) ,63444
Bukidnon,1988
Malaybalay City,1204
Valencia City,646
Others,138
Camiguin,16231
Lanao del Norte,615
Misamis Occidental,2700
Ozamis City,2528
Tangub City,26
Oroquieta City,122
Others,24
Misamis Oriental,1233
Gingoog City,308
Others,925
Cagayan de Oro City,37477
Iligan City,3200
Region XI (DAVAO REGION),198005
Compostela Valley,193
Davao del Norte,6779
Others,6779
Davao del Sur,4004
Davao Oriental,2534
Davao City,184495
Region XII (SOCCSSARGEN),18810
North Cotabato,79
Kidapawan City,79
Sarangani,435
South Cotabato,4989
Koronadal City,4330
Others,659
Sultan Kudarat,77
Tacurong City,77
Cotabato City,1813
General Santos City,11417
Region XIII (CARAGA),87093
Agusan del Norte,366
Cabadbaran City,251
Others,115
Agusan del Sur,592
Bayugan,57
Others,535
Dinagat Islands,843
Surigao del Norte,72133
Siargao Islands,57037
Surigao City,14600
Others,496
Surigao del Sur,1310
Bislig City,107
Tandag City,299
Others,904
Butuan City,11849
GRAND TOTAL,8211535
